filename,psnr_a1,ssim_a1,lpips_a1,psnr_a2,ssim_a2,lpips_a2,psnr_a1_norm,psnr_a2_norm,ssim_a1_norm,ssim_a2_norm,lpips_a1_norm,lpips_a2_norm
007342.png,30.798114,0.875868,0.034118,31.089591,0.881051,0.033394,0.739341,0.767468,0.852827,0.871277,0.909356,0.914515
007392.png,25.539158,0.759819,0.122076,27.829315,0.792981,0.055110,0.231863,0.452858,0.439806,0.557831,0.283196,0.759919
007409.png,27.568167,0.818693,0.083317,29.489294,0.834420,0.055802,0.427658,0.613042,0.649341,0.705313,0.559115,0.754990
007800.png,26.697445,0.797238,0.112300,28.998688,0.837887,0.067475,0.343635,0.565700,0.572982,0.717651,0.352788,0.671892
007814.png,25.717625,0.807094,0.082151,25.647182,0.803637,0.085041,0.249084,0.242287,0.608058,0.595755,0.567420,0.546841
008594.png,29.268604,0.882279,0.033848,29.496207,0.885676,0.030104,0.591746,0.613709,0.875646,0.887735,0.911281,0.937934
008720.png,29.579268,0.858093,0.046760,29.947746,0.859296,0.041614,0.621725,0.657282,0.789566,0.793848,0.819362,0.855993
008930.png,25.029503,0.731209,0.098912,26.507953,0.756423,0.062974,0.182682,0.325349,0.337981,0.427717,0.448099,0.703934
008990.png,29.466507,0.810791,0.061794,29.893583,0.817540,0.053551,0.610843,0.652055,0.621218,0.645235,0.712338,0.771017
009530.png,30.703378,0.907309,0.025933,31.113510,0.912059,0.021385,0.730199,0.769776,0.964727,0.981632,0.967623,1.000000
009899.png,26.629236,0.793765,0.051846,25.329341,0.756759,0.078364,0.337053,0.211616,0.560622,0.428915,0.783154,0.594376
010160.png,29.655602,0.877787,0.034804,30.937278,0.885325,0.026290,0.629091,0.752770,0.859659,0.886487,0.904473,0.965085
010168.png,27.818640,0.822869,0.052859,28.448680,0.836377,0.036693,0.451828,0.512625,0.664205,0.712277,0.775944,0.891026
010177.png,26.585103,0.811425,0.040107,26.584785,0.811434,0.040093,0.332794,0.332763,0.623475,0.623506,0.866726,0.866821
010277.png,24.188743,0.763877,0.096873,25.405664,0.783025,0.078386,0.101550,0.218981,0.454248,0.522396,0.462617,0.594219
010535.png,28.255178,0.836442,0.044199,28.981772,0.841184,0.033099,0.493953,0.564068,0.712509,0.729386,0.837593,0.916610
010669.png,23.980070,0.760678,0.087925,24.770638,0.780529,0.066520,0.081414,0.157702,0.442863,0.513512,0.526313,0.678695
010959.png,31.294615,0.884425,0.028222,31.254328,0.885092,0.026431,0.787252,0.783364,0.883281,0.885659,0.951334,0.964079
011022.png,27.254544,0.802449,0.044046,27.685397,0.810286,0.036450,0.397394,0.438970,0.591526,0.619418,0.838683,0.892755
011044.png,25.505463,0.784399,0.088927,26.865741,0.813459,0.064954,0.228611,0.359875,0.527287,0.630712,0.519177,0.689838
011397.png,29.876472,0.876287,0.032214,30.348874,0.879162,0.029161,0.650404,0.695990,0.854320,0.864551,0.922914,0.944646
011709.png,24.764755,0.779745,0.106902,25.711563,0.786563,0.092367,0.157134,0.248499,0.510721,0.534987,0.391216,0.494692
011833.png,28.639660,0.865110,0.042763,29.172030,0.871885,0.034074,0.531054,0.582427,0.814539,0.838654,0.847819,0.909675
011926.png,26.486490,0.819166,0.045244,26.833716,0.823200,0.039940,0.323278,0.356785,0.651023,0.665381,0.830152,0.867914
011959.png,26.365065,0.840480,0.079303,27.695962,0.858233,0.044974,0.311561,0.439990,0.726880,0.790066,0.587690,0.832075
012605.png,27.739381,0.797527,0.048438,28.327171,0.812991,0.036153,0.444179,0.500900,0.574011,0.629047,0.807417,0.894870
012658.png,26.530127,0.784198,0.063727,26.644843,0.775803,0.067524,0.327489,0.338559,0.526570,0.496693,0.698577,0.671544
012734.png,28.990154,0.828804,0.034426,29.351672,0.832160,0.031549,0.564876,0.599762,0.685325,0.697271,0.907168,0.927650
014110.png,26.588282,0.785456,0.072664,27.910713,0.807804,0.059698,0.333101,0.460713,0.531049,0.610585,0.634952,0.727262
014255.png,29.691842,0.880241,0.039209,30.131991,0.884422,0.034315,0.632588,0.675061,0.868393,0.883271,0.873116,0.907956
014636.png,23.926317,0.774164,0.067869,23.695112,0.774135,0.064413,0.076227,0.053916,0.490858,0.490758,0.669089,0.693695
014717.png,28.255935,0.813550,0.058578,29.118942,0.828778,0.044186,0.494026,0.577304,0.631035,0.685233,0.735234,0.837685
015087.png,30.036215,0.875153,0.040082,30.289447,0.877944,0.037675,0.665819,0.690255,0.850282,0.860216,0.866898,0.884038
015120.png,29.503564,0.823559,0.027077,29.539876,0.823481,0.027338,0.614419,0.617923,0.666660,0.666381,0.959482,0.957623
015192.png,24.679464,0.745685,0.094613,24.287341,0.731013,0.100199,0.148904,0.111065,0.389502,0.337284,0.478702,0.438934
